Year,Month,Day,NorESM1-M
1980,9,10,31.71
1980,9,11,16.84
1980,9,12,9.68
1980,9,13,7.19
1980,9,14,6.40
1980,9,15,6.11
1980,9,16,5.95
1980,9,17,5.85
1980,9,18,5.76
1980,9,19,5.68
1980,9,20,5.59
1980,9,21,5.52
1980,9,22,5.43
1980,9,23,5.33
1980,9,24,5.25
1980,9,25,5.17
1980,9,26,53.77
1980,9,27,74.12
1980,9,28,31.21
1980,9,29,14.48
1980,9,30,9.06
1980,10,1,7.45
1980,10,2,6.95
1980,10,3,6.75
1980,10,4,37.83
1980,10,5,44.66
1980,10,6,20.42
1980,10,7,18.24
1980,10,8,12.31
1980,10,9,9.19
1980,10,10,7.95
1980,10,11,7.49
1980,10,12,7.28
1980,10,13,7.16
1980,10,14,7.05
1980,10,15,6.93
1980,10,16,6.79
1980,10,17,14.33
1980,10,18,17.79
1980,10,19,12.81
1980,10,20,9.13
1980,10,21,7.44
1980,10,22,6.79
1980,10,23,6.53
1980,10,24,6.37
1980,10,25,6.23
1980,10,26,6.11
1980,10,27,6.00
1980,10,28,5.89
1980,10,29,5.78
1980,10,30,6.23
1980,10,31,83.50
1980,11,1,103.70
1980,11,2,51.88
1980,11,3,22.19
1980,11,4,12.70
1980,11,5,17.59
1980,11,6,18.49
1980,11,7,14.23
1980,11,8,10.75
1980,11,9,9.26
1980,11,10,68.45
1980,11,11,112.19
1980,11,12,52.17
1980,11,13,34.93
1980,11,14,19.36
1980,11,15,13.73
1980,11,16,11.89
1980,11,17,30.39
1980,11,18,19.29
1980,11,19,13.83
1980,11,20,11.79
1980,11,21,11.05
1980,11,22,10.73
1980,11,23,10.51
1980,11,24,21.58
1980,11,25,15.69
1980,11,26,112.33
1980,11,27,54.50
1980,11,28,26.20
1980,11,29,77.59
1980,11,30,43.07
1980,12,1,24.52
1980,12,2,29.05
1980,12,3,212.18
1980,12,4,261.93
1980,12,5,168.61
1980,12,6,77.32
1980,12,7,39.76
1980,12,8,27.22
1980,12,9,23.36
1980,12,10,53.36
1980,12,11,31.88
1980,12,12,24.60
1980,12,13,22.15
1980,12,14,21.23
1980,12,15,20.73
1980,12,16,20.34
1980,12,17,20.48
1980,12,18,51.07
1980,12,19,37.25
1980,12,20,27.92
1980,12,21,21.85
1980,12,22,19.88
1980,12,23,19.12
1980,12,24,18.71
1980,12,25,18.38
1980,12,26,18.06
1980,12,27,17.77
1980,12,28,17.48
1980,12,29,17.19
1980,12,30,16.90
1980,12,31,16.61
1981,1,1,16.33
1981,1,2,16.07
1981,1,3,15.80
1981,1,4,15.53
1981,1,5,15.27
1981,1,6,15.02
1981,1,7,14.76
1981,1,8,14.50
1981,1,9,14.27
1981,1,10,14.04
1981,1,11,13.81
1981,1,12,13.57
1981,1,13,13.35
1981,1,14,13.11
1981,1,15,12.89
1981,1,16,12.68
1981,1,17,12.47
1981,1,18,12.26
1981,1,19,12.06
1981,1,20,11.85
1981,1,21,11.64
1981,1,22,11.45
1981,1,23,11.27
1981,1,24,11.08
1981,1,25,10.90
1981,1,26,10.72
1981,1,27,10.53
1981,1,28,10.37
1981,1,29,10.19
1981,1,30,10.00
1981,1,31,9.82
1981,2,1,9.65
1981,2,2,71.28
1981,2,3,30.96
1981,2,4,18.31
1981,2,5,186.41
1981,2,6,256.10
1981,2,7,180.13
1981,2,8,73.23
1981,2,9,35.49
1981,2,10,23.78
1981,2,11,20.36
1981,2,12,19.25
1981,2,13,18.74
1981,2,14,18.39
1981,2,15,18.07
1981,2,16,17.75
1981,2,17,17.43
1981,2,18,158.58
1981,2,19,269.75
1981,2,20,320.84
1981,2,21,297.35
1981,2,22,213.48
1981,2,23,130.68
1981,2,24,75.41
1981,2,25,48.95
1981,2,26,38.64
1981,2,27,34.90
1981,2,28,35.05
1981,3,1,33.79
1981,3,2,32.56
1981,3,3,42.00
1981,3,4,36.13
1981,3,5,104.07
1981,3,6,143.43
1981,3,7,77.67
1981,3,8,47.70
1981,3,9,36.82
1981,3,10,103.20
1981,3,11,73.99
1981,3,12,46.29
1981,3,13,36.37
1981,3,14,33.01
1981,3,15,56.77
1981,3,16,92.56
1981,3,17,161.96
1981,3,18,185.10
1981,3,19,150.72
1981,3,20,96.10
1981,3,21,59.78
1981,3,22,44.19
1981,3,23,38.37
1981,3,24,92.16
1981,3,25,57.68
1981,3,26,43.08
1981,3,27,37.59
1981,3,28,35.15
1981,3,29,34.16
